MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
G_XGDP,GERD as a percentage of GDP,CHL,Chile,2015,2015,PC,Percentage,0,Units,,,0.380727106,,
G_XGDP,GERD as a percentage of GDP,ROU,Romania,2015,2015,PC,Percentage,0,Units,,,0.48793047,,
G_XGDP,GERD as a percentage of GDP,MEX,Mexico,2015,2015,PC,Percentage,0,Units,,,0.523765847,e; p,Estimated value; Provisional value
G_XGDP,GERD as a percentage of GDP,ARG,Argentina,2015,2015,PC,Percentage,0,Units,,,0.618540979,,
G_XGDP,GERD as a percentage of GDP,LVA,Latvia,2015,2015,PC,Percentage,0,Units,,,0.625814031,,
G_XGDP,GERD as a percentage of GDP,ZAF,South Africa,2015,2015,PC,Percentage,0,Units,,,0.798459349,,
G_XGDP,GERD as a percentage of GDP,TUR,Turkey,2015,2015,PC,Percentage,0,Units,,,0.881503008,,
G_XGDP,GERD as a percentage of GDP,GRC,Greece,2015,2015,PC,Percentage,0,Units,,,0.961207155,,
G_XGDP,GERD as a percentage of GDP,POL,Poland,2015,2015,PC,Percentage,0,Units,,,1.003245145,,
G_XGDP,GERD as a percentage of GDP,LTU,Lithuania,2015,2015,PC,Percentage,0,Units,,,1.040954681,,
G_XGDP,GERD as a percentage of GDP,RUS,Russia,2015,2015,PC,Percentage,0,Units,,,1.098931065,,
G_XGDP,GERD as a percentage of GDP,SVK,Slovak Republic,2015,2015,PC,Percentage,0,Units,,,1.171711649,,
G_XGDP,GERD as a percentage of GDP,IRL,Ireland,2015,2015,PC,Percentage,0,Units,,,1.184324182,e,Estimated value
G_XGDP,GERD as a percentage of GDP,ESP,Spain,2015,2015,PC,Percentage,0,Units,,,1.218315428,,
G_XGDP,GERD as a percentage of GDP,NZL,New Zealand,2015,2015,PC,Percentage,0,Units,,,1.234101499,,
G_XGDP,GERD as a percentage of GDP,PRT,Portugal,2015,2015,PC,Percentage,0,Units,,,1.242634819,,
G_XGDP,GERD as a percentage of GDP,LUX,Luxembourg,2015,2015,PC,Percentage,0,Units,,,1.284053195,,
G_XGDP,GERD as a percentage of GDP,ITA,Italy,2015,2015,PC,Percentage,0,Units,,,1.341153429,,
G_XGDP,GERD as a percentage of GDP,HUN,Hungary,2015,2015,PC,Percentage,0,Units,,,1.362445771,,
G_XGDP,GERD as a percentage of GDP,EST,Estonia,2015,2015,PC,Percentage,0,Units,,,1.466298039,,
G_XGDP,GERD as a percentage of GDP,GBR,United Kingdom,2015,2015,PC,Percentage,0,Units,,,1.668179629,,
G_XGDP,GERD as a percentage of GDP,CAN,Canada,2015,2015,PC,Percentage,0,Units,,,1.693244556,,
G_XGDP,GERD as a percentage of GDP,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,1.875612466,e,Estimated value
