"MSTI_VAR","MSTI Variables","COU","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","AUS","Australia","2015","2015","USD","US Dollar","6","Millions",,,21151.5170249401,"e","Estimated value"
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","AUT","Austria","2015","2015","USD","US Dollar","6","Millions",,,13146.9582799359,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","BEL","Belgium","2015","2015","USD","US Dollar","6","Millions",,,12651.1691682353,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","CAN","Canada","2015","2015","USD","US Dollar","6","Millions",,,27005.5171382895,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","CZE","Czech Republic","2015","2015","USD","US Dollar","6","Millions",,,6854.79342571741,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","DNK","Denmark","2015","2015","USD","US Dollar","6","Millions",,,8517.95393634855,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","FIN","Finland","2015","2015","USD","US Dollar","6","Millions",,,6689.6668864677,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","FRA","France","2015","2015","USD","US Dollar","6","Millions",,,61645.6567122176,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","DEU","Germany","2015","2015","USD","US Dollar","6","Millions",,,114128.17695843,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","GRC","Greece","2015","2015","USD","US Dollar","6","Millions",,,2798.1616769842,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","HUN","Hungary","2015","2015","USD","US Dollar","6","Millions",,,3534.53766458352,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","ISL","Iceland","2015","2015","USD","US Dollar","6","Millions",,,355.148097963726,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","IRL","Ireland","2015","2015","USD","US Dollar","6","Millions",,,3840.10914545807,"e","Estimated value"
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","ITA","Italy","2015","2015","USD","US Dollar","6","Millions",,,30002.8945880574,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","JPN","Japan","2015","2015","USD","US Dollar","6","Millions",,,168546.119458247,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","KOR","Korea","2015","2015","USD","US Dollar","6","Millions",,,76932.3905476723,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","LUX","Luxembourg","2015","2015","USD","US Dollar","6","Millions",,,751.738188550936,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","MEX","Mexico","2015","2015","USD","US Dollar","6","Millions",,,11670.3613987066,"e; p","Estimated value; Provisional value"
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","NLD","Netherlands","2015","2015","USD","US Dollar","6","Millions",,,16913.3729284371,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","NZL","New Zealand","2015","2015","USD","US Dollar","6","Millions",,,2125.42729899474,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","NOR","Norway","2015","2015","USD","US Dollar","6","Millions",,,6063.45398553476,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","POL","Poland","2015","2015","USD","US Dollar","6","Millions",,,10234.7619453205,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","PRT","Portugal","2015","2015","USD","US Dollar","6","Millions",,,3820.80923343165,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","SVK","Slovak Republic","2015","2015","USD","US Dollar","6","Millions",,,1886.93692927477,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","ESP","Spain","2015","2015","USD","US Dollar","6","Millions",,,19820.5819017081,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","SWE","Sweden","2015","2015","USD","US Dollar","6","Millions",,,15493.2075169685,"v","The sum of the breakdown does not add to the total"
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","CHE","Switzerland","2015","2015","USD","US Dollar","6","Millions",,,17854.9187514036,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","TUR","Turkey","2015","2015","USD","US Dollar","6","Millions",,,17739.0296214249,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","GBR","United Kingdom","2015","2015","USD","US Dollar","6","Millions",,,45678.1989343539,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","USA","United States","2015","2015","USD","US Dollar","6","Millions",,,495098,"d","Definition differs"
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","ARG","Argentina","2015","2015","USD","US Dollar","6","Millions",,,5466.98541509688,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","CHL","Chile","2015","2015","USD","US Dollar","6","Millions",,,1552.18200004693,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","CHN","China (People's Republic of)","2015","2015","USD","US Dollar","6","Millions",,,407466.678108723,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","EST","Estonia","2015","2015","USD","US Dollar","6","Millions",,,563.453615869243,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","ISR","Israel","2015","2015","USD","US Dollar","6","Millions",,,12671.3119193936,"d","Definition differs"
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","ROU","Romania","2015","2015","USD","US Dollar","6","Millions",,,2091.48389269125,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","RUS","Russia","2015","2015","USD","US Dollar","6","Millions",,,38776.3645167333,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","SGP","Singapore","2015","2015","USD","US Dollar","6","Millions",,,10681.4682080925,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","SVN","Slovenia","2015","2015","USD","US Dollar","6","Millions",,,1433.39372711853,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","ZAF","South Africa","2015","2015","USD","US Dollar","6","Millions",,,5816.70631854072,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","TWN","Chinese Taipei","2015","2015","USD","US Dollar","6","Millions",,,33847.6739613055,,
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","OECD","OECD - Total","2015","2015","USD","US Dollar","6","Millions",,,1240352.09297185,"e","Estimated value"
"G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","EU15","European Union (15 countries)","2015","2015","USD","US Dollar","6","Millions",,,355898.656055585,"e","Estimated value"
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","AUS","Australia","2015","2015","NATCUR","National currency","6","Millions",,,31179,"e","Estimated value"
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","AUT","Austria","2015","2015","NATCUR","National currency","6","Millions",,,10499.146,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","BEL","Belgium","2015","2015","NATCUR","National currency","6","Millions",,,10118.2,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","CAN","Canada","2015","2015","NATCUR","National currency","6","Millions",,,33703,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","CZE","Czech Republic","2015","2015","NATCUR","National currency","6","Millions",,,88663.39,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","DNK","Denmark","2015","2015","NATCUR","National currency","6","Millions",,,62210,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","FIN","Finland","2015","2015","NATCUR","National currency","6","Millions",,,6070.9,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","FRA","France","2015","2015","NATCUR","National currency","6","Millions",,,49839.13,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","DEU","Germany","2015","2015","NATCUR","National currency","6","Millions",,,88781.819,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","GRC","Greece","2015","2015","NATCUR","National currency","6","Millions",,,1703.82,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","HUN","Hungary","2015","2015","NATCUR","National currency","6","Millions",,,468389.7,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","ISL","Iceland","2015","2015","NATCUR","National currency","6","Millions",,,50408.6,,
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","IRL","Ireland","2015","2015","NATCUR","National currency","6","Millions",,,3108.4501086075,"e","Estimated value"
"G_NC","GERD in national currency (for euro area: pre-EMU euro or EUR)","ITA","Italy","2015","2015","NATCUR","National currency","6","Millions",,,22157,,
